url,state,county,apn,gps,size,price,zoning,legal_description
https://landpin.com/land/20-acres-solitario-terlingua-ranch-brewster-county-tx/,TX,Brewster,24263,"29.468877,-103.704132",20,"4,500",Vacant,"TR#:2960 BLK 15, SEC 10, TR: 2960 S/2-NE/4-SE/4"
https://landpin.com/land/welcome-brewster-county-fun-spontaneous-2/,TX,Brewster,13580,"29.8455,-103.596",5,"1,999",Residential,"BLK 214, SEC 18, TR: F310 TSTL"
https://landpin.com/land/20-acres-brewster-county-steal-deal/,TX,Brewster,31951,"29.93387,-102.550882",20,"4,500",Commercial,"BLK D11, SEC 35 E/2-SE/4-SW/4 ABST: 2663 TC RY CO"
https://landpin.com/land/slower-pace-life-stunning-5-acres-lot-brewster-county-texas/,TX,Brewster,24531,"29.460704,-103.654463",5,"1,999",Residential,"BLK 15, SEC 21, TR: F91"
https://landpin.com/land/seminole-canyon-acreage-sanderson-terrell-county-texas/,TX,Terrell,12970,"29.9646293,-102.2712174",10.0,"5,000",Agriculture,"A1112 TC RY, BLOCK D10, TRACT 45, ACRES 10.0"
https://landpin.com/land/5-acre-lot-southwest-sunsites-van-horn-tx/,TX,Culberson,8753,"31.073350,-104.581717",5,"1,692",Vacant,"Abstract 5199 Block 81 N/2 Section 5 Unit 17 Parcel 39 Southwest Sunsites Subdivision, Culberson County, Texas"
https://landpin.com/land/west-texas-acreage-terrell-county-texas-off-grid/,TX,Terrell,12969,"29.9646293,-102.2712174",10.0,"5,000",Agriculture,"A1102 TC RY, BLOCK D10, TRACT 25, ACRES 10.0"
https://landpin.com/land/southwest-sunsites-lot-24-section-16-5-00-acre-lot-van-horn-culberson-county-tx/,TX,Culberson,16258,"31.0963167,-104.6679500",5,"1,632",Vacant,"Parcel 24, Section 16, Unit 201, Block 63, PSL, Southwest Sunsites, 5.0 acres M/L"
https://landpin.com/land/5-acres-cedar-springs-terlingua-ranch-brewster-county-tx/,TX,Brewster,34608,"29.589539  ,-103.382666",5,"2,499",Vacant,"BLK CS, SEC 1, TR: C323"
https://landpin.com/land/5-00-acre-desert-property-drive-access-pecos-tx/,TX,Culberson,16241,"31.605385,-104.099436",5,"1,782",Vacant,E 1/2 SW 1/4 SW 1/2 NW 1/4 All of Section 7 Block 45 PSL Culberson County
https://landpin.com/land/5-acres-land-miles-town-terlingua/,TX,Brewster,24469,"29.453367,-103.657663",5,"1,999",Residential,"BLK 15, SEC 21, TR: F28"
https://landpin.com/land/5-00-acre-buildable-lot-paradise-valley-sale/,TX,Hudspeth,R14573,"31.360010,-105.496152",5,"1,456",Residential,"2 PARADISE VALLEY #1 LOT 2 (5.00 ACRES); Lot 2, being a portion of Tract 2, Section 1, Block 21, TSP Public School Land, Hudspeth County, Texas"
